Enter a prime number for p: 13
Enter a prime number for q: 11
N = p * q = 143
Enter a prime number for g (less than N): 7
x     g^x        (g^x)/N              Remainder
--------------------------------------------------
1     7          0                    7
2     49         0                    49
3     343        2                    57
4     2401       16                   113
5     16807      117                  76
6     117649     822                  103
7     823543     5759                 6
8     5764801    40313                42
9     40353607   282193               8
10    282475249  1975351              56
11    1977326743 13827459             106
12    13841287201 96792218             27
13    96889010407 677545527            46
14    678223072849 4742818691           36
15    4747561509943 33199730838          109
16    33232930569601 232398115871         48
17    232630513987207 1626786811099        50
18    1628413597910449 11387507677695       64
19    11398895185373143 79712553743868       19
20    79792266297612001 557987876207076      133
21    558545864083284007 3905915133449538     73
22    3909821048582988049 27341405934146769    82
23    27368747340080916343 191389841539027387   2
24    191581231380566414401 1339728890773191709  14
25    1341068619663964900807 9378102235412341963  98
26    9387480337647754305649 65646715647886393745 114
27    65712362363534280139543 459527009535204756220 83
28    459986536544739960976801 3216689066746433293544 9
29    3219905755813179726837607 22516823467225033054808 63
30    22539340290692258087863249 157617764270575231383659 12
31    157775382034845806615042743 1103324349894026619685613 84
32    1104427674243920646305299201 7723270449258186337799295 16
33    7730993719707444524137094407 54062893144807304364595065 112
34    54116956037952111668959660849 378440252013651130552165460 69
35    378818692265664781682717625943 2649081764095557913865158223 54
36    2651730845859653471779023381601 18543572348668905397056107563 92
37    18562115921017574302453163671207 129805006440682337779392752945 72
38    129934811447123020117172145698449 908635045084776364455749270618 75
39    909543680129861140820205019889143 6360445315593434551190244894329 96
40    6366805760909027985741435139224001 44523117209154041858331714260307 100
41    44567640326363195900190045974568007 311661820464078293008321999822153 128
42    311973482284542371301330321821976049 2181632743248548051058253998755077 38
43    2183814375991796599109312252753832343 15271429202739836357407777991285540 123
44    15286700631942576193765185769276826401 106900004419178854501854445938998786 3
45    107006904423598033356356300384937784807 748300030934251981512981121572991502 21
46    749048330965186233494494102694564493649 5238100216539763870590867851010940515 4
47    5243338316756303634461458718861951455543 36666701515778347094136074957076583605 28
48    36703368217294125441230211032033660188801 256666910610448429658952524699536085236 53
49    256923577521058878088611477224235621321607 1796668374273139007612667672896752596654 85
50    1798465042647412146620280340569649349251249 12576678619911973053288673710277268176582 23
51    12589255298531885026341962383987545444758743 88036750339383811373020715971940877236075 18
52    88124787089723195184393736687912818113311201 616257252375686679611145011803586140652525 126
53    616873509628062366290756156815389726793178407 4313800766629806757278015082625102984567681 24
54    4318114567396436564035293097707728087552248849 30196605366408647300946105578375720891973768 25
55    30226801971775055948247051683954096612865741943 211376237564860531106622739048630046243816377 32
56    211587613802425391637729361787678676290060193601 1479633662954023717746359173340410323706714640 81
57    1481113296616977741464105532513750734030421355207 10357435640678166024224514213382872265947002483 138
58    10367793076318844190248738727596255138212949486449 72502049484747162169571599493680105861629017387 108
59    72574551534231909331741171093173785967490646405143 507514346393230135187001196455760741031403121714 41
60    508021860739623365322188197652216501772434524836001 3552600424752610946309008375190325187219821852000 1

